player,games,inning,not_outs,total_runs,balls_faced,bb,ave,strike_rate,hundreds,fifties,fours,sixes
Gauti Gambhir,1,1,0,53,35,53 (35),53,151.428571428571,0,1,3,3
Ashutosh Kumar Kushwaha,1,1,0,33,33,33 (33),33,100,0,0,2,0
Virat King Kohli,1,1,0,14,10,14 (10),14,140,0,0,1,1
Risabh Pant,1,1,1,11,10,11* (10),,110,0,0,2,0
Ro hitman Sharma,1,1,1,10,8,10* (8),,125,0,0,0,1
ABD Villiers,1,1,0,0,2,0 (2),0,0,0,0,0,0
Bhuvi Kumar,1,0,,0,0,0* (0),,,0,0,0,0
Muscle Russell,1,0,,0,0,0* (0),,,0,0,0,0
Rashid Khaan,1,0,,0,0,0* (0),,,0,0,0,0
Sir Jadeja,1,0,,0,0,0* (0),,,0,0,0,0
Steyn Gun,1,0,,0,0,0* (0),,,0,0,0,0
