player,games,inning,not_outs,total_runs,balls_faced,bb,ave,strike_rate,hundreds,fifties,fours,sixes
Gauti Gambhir,1,1,1,59,42,59* (42),,140.47619047619,0,1,3,3
ABD Villiers,1,1,0,18,25,18 (25),18,72,0,0,1,0
Ro hitman Sharma,1,1,0,7,12,7 (12),7,58.3333333333333,0,0,1,0
Virat King Kohli,1,1,0,6,5,6 (5),6,120,0,0,1,0
Ashutosh Kumar Kushwaha,1,1,0,1,2,1 (2),1,50,0,0,0,0
Hard hit Pandya,1,1,1,1,2,1* (2),,50,0,0,0,0
Josh Buttler,1,1,0,0,2,0 (2),0,0,0,0,0,0
Bhuvi Kumar,1,0,,0,0,0* (0),,,0,0,0,0
Rashid Khaan,1,0,,0,0,0* (0),,,0,0,0,0
Ravi Ashwin,1,0,,0,0,0* (0),,,0,0,0,0
Trent Bolt,1,0,,0,0,0* (0),,,0,0,0,0
