player,games,inning,overs,total_wickets,runs_conceded,ave,economy_rate,strike_rate,fifers,fourfers
Dirk Steyn,3,3,12.0,5,77,15.4,6.416666666666667,14.4,0,1
Bad Brad,3,3,12.0,3,47,15.666666666666666,3.9166666666666665,24.0,0,0
Morne Donald,3,3,12.0,3,52,17.333333333333332,4.333333333333333,24.0,0,0
Ashwin Adams,2,2,6.0,2,18,9.0,3.0,18.0,0,0
Dwayne Miller,3,3,10.0,2,72,36.0,7.2,30.0,0,0
Siya Kholisi,1,1,3.0,2,21,10.5,7.0,9.0,0,0
Chris Riley,1,1,1.0,0,14,inf,14.0,inf,0,0
Shane Warner,2,2,4.0,0,29,inf,7.25,inf,0,0
