player,games,inning,overs,total_wickets,runs_conceded,ave,economy_rate,strike_rate,fifers,fourfers
Ashutosh Kumar Kushwaha,3,3,12.0,3,66,22.0,5.5,24.0,0,0
Hard hit Pandya,2,2,8.0,3,26,8.666666666666666,3.25,16.0,0,0
Rashid Khaan,3,3,12.0,2,90,45.0,7.5,36.0,0,0
Ravi Ashwin,1,1,1.0,1,4,4.0,4.0,6.0,0,0
Steyn Gun,1,1,4.0,1,13,13.0,3.25,24.0,0,0
Trent Bolt,2,2,7.0,1,41,41.0,5.857142857142857,42.0,0,0
Bhuvi Kumar,3,3,12.0,0,74,inf,6.166666666666667,inf,0,0
Muscle Russell,1,1,2.0,0,16,inf,8.0,inf,0,0
Sir Jadeja,1,1,2.0,0,23,inf,11.5,inf,0,0
