player,games,inning,overs,total_wickets,runs_conceded,ave,economy_rate,strike_rate,fifers,fourfers
Jason Mohammed,3,3,12.0,3,91,30.333333333333332,7.583333333333333,24.0,0,0
Bhuvneshwar Kaul,3,3,7.0,1,55,55.0,7.857142857142857,42.0,0,0
Billy Ahmed,3,3,12.0,1,66,66.0,5.5,72.0,0,0
Sanjay Samad,2,2,3.2,1,41,41.0,12.8125,19.200000000000003,0,0
Basil Raj,1,1,4.0,0,24,inf,6.0,inf,0,0
Rashid Kumar,2,2,4.0,0,54,inf,13.5,inf,0,0
Sandeep Natarajan,3,3,4.8,0,69,inf,14.375,inf,0,0
Vijay Sharma,1,1,4.0,0,25,inf,6.25,inf,0,0
