player,games,inning,not_outs,total_runs,balls_faced,bb,ave,strike_rate,hundreds,fifties,fours,sixes
Babar Gayle,1,1,0,47,56,47 (56),47,83.9285714285714,0,0,3,2
Sunil Amla,1,1,1,45,28,45* (28),,160.714285714286,0,0,2,4
Virat Tendulkar,1,1,1,9,8,9* (8),,112.5,0,0,0,1
ABD Afridi,1,0,,0,0,0* (0),,,0,0,0,0
D'Arcy Hogg,1,0,,0,0,0* (0),,,0,0,0,0
Jasprit Jadeja,1,0,,0,0,0* (0),,,0,0,0,0
KL McCullum,1,0,,0,0,0* (0),,,0,0,0,0
Morne Narine,1,0,,0,0,0* (0),,,0,0,0,0
Russell Perera,1,0,,0,0,0* (0),,,0,0,0,0
Suresh Pollard,1,0,,0,0,0* (0),,,0,0,0,0
Tim Starc,1,0,,0,0,0* (0),,,0,0,0,0
