player,games,inning,overs,total_wickets,runs_conceded,ave,economy_rate,strike_rate,fifers,fourfers
Russell Perera,3,3,11.0,8,28,3.5,2.5454545454545454,8.25,0,1
Tim Starc,3,3,11.2,6,29,4.833333333333333,2.5892857142857144,11.199999999999998,1,0
Jasprit Jadeja,3,3,12.0,5,55,11.0,4.583333333333333,14.4,0,0
Suresh Pollard,2,2,6.0,1,26,26.0,4.333333333333333,36.0,0,0
D'Arcy Hogg,3,3,7.0,0,80,inf,11.428571428571429,inf,0,0
Morne Narine,3,3,4.0,0,44,inf,11.0,inf,0,0
Thisara Bumrah,1,1,3.0,0,18,inf,6.0,inf,0,0
